0	200	Exon
201	2445	Non_coding
2446	2580	Exon
2581	4929	Non_coding
4930	5221	Exon
5222	5799	Non_coding
5800	6099	Exon
6100	8429	Non_coding
8430	8601	Exon
8602	9052	Non_coding
9053	9209	Exon
9210	9779	Non_coding
9780	9879	Exon
9880	10647	Non_coding
10648	10719	Exon
10720	11147	Non_coding
11148	11314	Exon
11315	14114	Non_coding
14115	14182	Exon
14183	14296	Non_coding
14297	14632	Exon
14633	15904	Non_coding
15905	16030	Exon
16031	17220	Non_coding
17221	17301	Exon
17302	19119	Non_coding
19120	19221	Exon
19222	25918	Non_coding
25919	26463	Exon
26464	30175	Non_coding
30176	30292	Exon
30293	44588	Non_coding
44589	44718	Exon
44719	74075	Non_coding
74076	74322	Exon
74323	134186	Non_coding
134187	135758	Exon
135759	145476	Non_coding
145477	145564	Exon
145565	146029	Non_coding
146030	146157	Exon
146158	148855	Non_coding
148856	148954	Exon
148955	149659	Non_coding
149660	150063	Exon
150064	151282	Non_coding
151283	151542	Exon
151543	204618	Non_coding
204619	206841	Exon
206842	216192	Non_coding
216193	216289	Exon
216290	216960	Non_coding
216961	217088	Exon
217089	229659	Non_coding
229660	229726	Exon
229727	231988	Non_coding
231989	232076	Exon
232077	272731	Non_coding
272732	273076	Exon
273077	275309	Non_coding
275310	275381	Exon
275382	287481	Non_coding
287482	287731	Exon
287732	289799	Non_coding
289800	289874	Exon
289875	291126	Non_coding
291127	291967	Exon
291968	294009	Non_coding
294010	294147	Exon
294148	302528	Non_coding
302529	302563	Exon
302564	302847	Non_coding
302848	302990	Exon
302991	309857	Non_coding
309858	310072	Exon
310073	314130	Non_coding
314131	314315	Exon
314316	314868	Non_coding
314869	314998	Exon
314999	317020	Non_coding
317021	317975	Exon
317976	343755	Non_coding
343756	344050	Exon
344051	344643	Non_coding
344644	344865	Exon
344866	346295	Non_coding
346296	346507	Exon
346508	354307	Non_coding
354308	354351	Exon
354352	354930	Non_coding
354931	355041	Exon
355042	355827	Non_coding
355828	355861	Exon
355862	371231	Non_coding
371232	371742	Exon
371743	521877	Non_coding
521878	522129	Exon
522130	522656	Non_coding
522657	522843	Exon
522844	531068	Non_coding
531069	531315	Exon
531316	534776	Non_coding
534777	534915	Exon
534916	554345	Non_coding
554346	554407	Exon
554408	625083	Non_coding
625084	625303	Exon
625304	658040	Non_coding
658041	658119	Exon
658120	660341	Non_coding
660342	660408	Exon
660409	709032	Non_coding
709033	709185	Exon
709186	713947	Non_coding
713948	714033	Exon
714034	718549	Non_coding
718550	718782	Exon
718783	720246	Non_coding
720247	720761	Exon
720762	724957	Non_coding
724958	725097	Exon
725098	725886	Non_coding
725887	726001	Exon
726002	728366	Non_coding
728367	728424	Exon
728425	729649	Non_coding
729650	729719	Exon
729720	732474	Non_coding
732475	732565	Exon
732566	736636	Non_coding
736637	736747	Exon
736748	740762	Non_coding
740763	741334	Exon
741335	743570	Non_coding
743571	743688	Exon
743689	746439	Non_coding
746440	750247	Exon
750248	754048	Non_coding
754049	754197	Exon
754198	755028	Non_coding
755029	755147	Exon
755148	756246	Non_coding
756247	756407	Exon
756408	757623	Non_coding
757624	757744	Exon
757745	758756	Non_coding
758757	758844	Exon
758845	759580	Non_coding
759581	759744	Exon
759745	762333	Non_coding
762334	762420	Exon
762421	762937	Non_coding
762938	762971	Exon
762972	767153	Non_coding
767154	767226	Exon
767227	785097	Non_coding
785098	785430	Exon
785431	788190	Non_coding
788191	788618	Exon
788619	795985	Non_coding
795986	796188	Exon
796189	797315	Non_coding
797316	797422	Exon
797423	797515	Non_coding
797516	797648	Exon
797649	798710	Non_coding
798711	798835	Exon
798836	799399	Non_coding
799400	799514	Exon
799515	801349	Non_coding
801350	801541	Exon
801542	803709	Non_coding
803710	803960	Exon
803961	804831	Non_coding
